iter	RMSE
0	1017.06248
1	927.6531517
2	850.4859618
3	777.4170594
4	711.9399765
5	656.5138036
6	605.2632155
7	560.1659625
8	522.4195896
9	484.9963848
10	453.88744
11	428.3237238
12	400.5613215
13	377.9179124
14	354.7021467
15	337.0519268
16	319.8246115
17	304.721386
18	292.2491265
19	280.7013614
20	270.3744359
21	261.7568786
22	253.5764749
23	245.5924685
24	237.3406416
25	232.553983
26	227.8122369
27	223.4185091
28	218.3881933
29	213.3485614
30	209.1049876
31	205.4544634
32	202.6704102
33	200.5076476
34	196.7576356
35	193.7094623
36	191.4608224
37	188.7785617
38	185.8804741
39	182.6355297
40	180.848961
41	179.3175411
42	176.8268708
43	176.0114002
44	173.7699933
45	171.4731323
46	169.5289536
47	168.7741317
48	167.6046891
49	165.9787403
50	163.9591681
51	162.4663239
52	161.2387702
53	160.6470392
54	159.2953375
55	158.7271925
56	158.0566602
57	156.6803277
58	154.8171388
59	154.1042824
60	151.3394625
61	150.6094054
62	149.9554192
63	149.0751221
64	148.6415423
65	148.4391151
66	148.1232754
67	147.6940601
68	147.1843174
69	145.7357809
70	143.7062005
71	141.6515545
72	140.8913835
73	139.8624498
74	139.2123743
75	137.6239807
76	137.428653
77	136.4771991
78	136.0738008
79	135.2932566
80	133.4792843
81	132.6684442
82	132.3867972
83	131.3143743
84	130.0284259
85	128.6934763
86	127.6837173
87	127.2827829
88	126.6330692
89	126.3148117
90	125.7316489
91	125.4031517
92	124.3693845
93	123.2130648
94	122.8283836
95	122.2919023
96	122.113189
97	121.9501448
98	121.1954935
99	120.361646
100	119.9552845
101	119.808015
102	119.0629253
103	118.7003178
104	118.189493
105	117.7951845
106	117.6595155
107	117.3838555
108	116.4333494
109	116.3201804
110	115.5237394
111	115.2917824
112	114.9687198
113	114.5952149
114	113.7652222
115	113.5997942
116	113.3155335
117	112.8463732
118	112.5056224
119	112.3419386
120	111.6477077
121	111.5611487
122	111.1815177
123	111.0301265
124	110.7810784
125	110.6300468
126	110.5565023
127	110.3275223
128	110.2063248
129	109.5676728
130	109.4283741
131	109.3387231
132	108.9030193
133	108.7176659
134	108.1590105
135	107.8314891
136	107.6569217
137	107.0526643
138	106.9585089
139	106.8351757
140	106.6039068
141	106.5015085
142	106.3911659
143	105.935921
144	105.8420133
145	105.7731343
146	105.6438834
147	105.5558721
148	105.4848097
149	105.2110922
150	105.0486058
151	104.9480825
152	104.5170631
153	104.2945624
154	104.2278769
155	104.1396787
156	104.0010578
157	103.934714
158	103.8749452
159	103.5222596
160	103.0738941
161	102.9791228
162	102.6787554
163	102.6229298
164	102.2264948
165	102.1588175
166	102.1085457
167	101.8401163
168	101.7918522
169	101.4864042
170	101.3976158
171	101.1710791
172	101.0827207
173	100.7685594
174	100.6599599
175	100.3986829
176	100.3653109
177	100.2009883
178	99.92308532
179	99.82879028
180	99.60734278
181	99.5375885
182	99.30898821
183	99.24225352
184	99.18580767
185	99.00835609
186	98.96686915
187	98.80755735
188	98.7793687
189	98.70605153
190	98.64199704
191	98.5209362
192	98.48410177
193	98.45096764
194	98.31531011
195	98.06304668
196	98.02341959
197	97.82009009
198	97.6560066
199	97.58931897
200	97.5559303
201	97.45951682
202	97.35324335
203	97.17799378
204	97.00194093
205	96.94145935
206	96.89002858
207	96.85617801
208	96.82562526
209	96.77861296
210	96.72026977
211	96.63518919
212	96.48938103
213	96.44896756
214	96.4257927
215	96.38477871
216	96.341614
217	96.19513382
218	96.10361322
219	96.05414516
220	95.97157989
221	95.90249591
222	95.83529296
223	95.71413138
224	95.64381303
225	95.62878928
226	95.59399134
227	95.46840889
228	95.34476401
229	95.27336343
230	95.21545587
231	95.09784189
232	94.95759962
233	94.85614056
234	94.81049112
235	94.76395625
236	94.72712527
237	94.70797389
238	94.67964282
239	94.65551623
240	94.57057878
241	94.54708345
242	94.45794164
243	94.43604799
244	94.41910097
245	94.39889766
246	94.38468339
247	94.34273431
248	94.28910102
249	94.25041272
