iter	Passed	Remaining
0	0	136
1	0	114
2	1	105
3	1	100
4	2	99
5	2	99
6	2	98
7	3	96
8	3	95
9	3	94
10	4	93
11	4	93
12	5	92
13	5	92
14	5	91
15	6	90
16	6	89
17	6	89
18	7	88
19	7	87
20	8	87
21	8	87
22	8	86
23	9	86
24	9	85
25	9	85
26	10	84
27	10	84
28	11	83
29	11	83
30	11	83
31	12	82
32	12	82
33	12	81
34	13	81
35	13	81
36	14	80
37	14	80
38	14	80
39	15	80
40	15	80
41	16	79
42	16	79
43	16	78
44	17	78
45	17	77
46	17	77
47	18	77
48	18	76
49	19	76
50	19	75
51	19	75
52	20	75
53	20	74
54	20	74
55	21	73
56	21	73
57	22	73
58	22	72
59	22	72
60	23	72
61	23	71
62	23	71
63	24	70
64	24	70
65	25	70
66	25	69
67	25	69
68	26	68
69	26	68
70	27	68
71	27	67
72	27	67
73	28	67
74	28	66
75	28	66
76	29	65
77	29	65
78	30	65
79	30	64
80	30	64
81	31	64
82	31	63
83	32	63
84	32	63
85	32	62
86	33	62
87	33	62
88	34	61
89	34	61
90	34	61
91	35	60
92	35	60
93	36	59
94	36	59
95	36	59
96	37	58
97	37	58
98	38	57
99	38	57
100	38	57
101	39	56
102	39	56
103	39	56
104	40	55
105	40	55
106	41	54
107	41	54
108	41	54
109	42	53
110	42	53
111	43	53
112	43	52
113	43	52
114	44	51
115	44	51
116	44	51
117	45	50
118	45	50
119	46	49
120	46	49
121	47	49
122	47	48
123	47	48
124	48	48
125	48	47
126	48	47
127	49	47
128	49	46
129	50	46
130	50	45
131	50	45
132	51	45
133	51	44
134	52	44
135	52	44
136	52	43
137	53	43
138	53	42
139	54	42
140	54	42
141	54	41
142	55	41
143	55	40
144	55	40
145	56	40
146	56	39
147	57	39
148	57	38
149	57	38
150	58	38
151	58	37
152	59	37
153	59	37
154	59	36
155	60	36
156	60	35
157	60	35
158	61	35
159	61	34
160	62	34
161	62	34
162	63	33
163	63	33
164	63	32
165	64	32
166	64	32
167	65	31
168	65	31
169	65	31
170	66	30
171	66	30
172	67	29
173	67	29
174	67	29
175	68	28
176	68	28
177	69	27
178	69	27
179	69	27
180	70	26
181	70	26
182	71	26
183	71	25
184	71	25
185	72	24
186	72	24
187	72	24
188	73	23
189	73	23
190	74	22
191	74	22
192	74	22
193	75	21
194	75	21
195	75	20
196	76	20
197	76	20
198	77	19
199	77	19
200	78	19
201	78	18
202	78	18
203	79	17
204	79	17
205	79	17
206	80	16
207	80	16
208	81	15
209	81	15
210	82	15
211	82	14
212	82	14
213	83	14
214	83	13
215	84	13
216	84	12
217	84	12
218	85	12
219	85	11
220	85	11
221	86	10
222	86	10
223	87	10
224	87	9
225	87	9
226	88	8
227	88	8
228	89	8
229	89	7
230	89	7
231	90	7
232	90	6
233	91	6
234	91	5
235	91	5
236	92	5
237	92	4
238	93	4
239	93	3
240	93	3
241	94	3
242	94	2
243	94	2
244	95	1
245	95	1
246	96	1
247	96	0
248	96	0
249	97	0
